,NAME,STATE_NAME,FIPS,geometry,Date,Series_Complete_Pop_Pct,Series_Complete_Yes,POPESTIMATE2019,Minority_Pct
3000,Liberty,Montana,30051,"POLYGON ((-111.4207348165336 48.127215536272, -111.4223100737647 48.21776252169813, -111.2866061288122 48.21937310928415, -111.2826794344272 49.00001159858535, -110.7507973115721 49.00000538210062, -110.7557279164374 48.2160647997178, -110.8262428496588 48.21493966778532, -110.8267965830363 48.13033388042575, -111.4207348165336 48.127215536272))",2021-10-09,30.6,715,2337,0.052577845839714143
3299,Hill,Montana,30041,"POLYGON ((-109.5402735690499 48.13248716712887, -109.7266363215369 48.13234014726496, -109.7247536073317 48.21831832723723, -109.8456905518233 48.21976972101005, -109.8452799012027 48.30525995873488, -110.6287492740428 48.30213161640152, -110.6280298713472 48.21572175336866, -110.7557279164374 48.2160647997178, -110.7507973115721 49.00000538210062, -109.5007370369779 49.00000501947234, -109.4977482029228 48.91701121840785, -109.5108179994438 48.9174269458243, -109.5133648932385 48.58039908638414, -109.5002874297197 48.57906015918093, -109.502203143098 48.52164367011437, -109.4665565245431 48.51934320813522, -109.4666100899198 48.44768599584435, -109.4986249344862 48.44781576496314, -109.5000516177322 48.39275667051508, -109.5245050410946 48.39225676153454, -109.522933047518 48.28650648202738, -109.5588461978558 48.2855409583404, -109.5577621465266 48.21768310610568, -109.5393439973663 48.21656942286592, -109.5402735690499 48.13248716712887))",2021-10-09,51.5,8482,16484,0.3149794591943099
3598,Sheridan,Montana,30091,"POLYGON ((-104.0521114628981 48.39101937024861, -104.6342434522003 48.39420702820712, -104.6350521132559 48.47634621803307, -104.7581799541832 48.47803953667006, -104.757836752422 48.56482497898882, -104.9792273760168 48.56714714686051, -104.9792810450017 48.66042897113645, -105.0359164845656 48.66140915536658, -105.0345444545812 48.91605222202984, -105.0564876096048 48.91773839170938, -105.0630345005004 49.00002133774477, -104.0629910882399 49.00002672536486, -104.0523176429751 48.64582473896742, -104.0521114628981 48.39101937024861))",2021-10-09,42.2,1396,3309,0.09578977112178577
3897,Divide,North Dakota,38023,"POLYGON ((-102.8850177922477 48.63678161862762, -104.0523176429751 48.64582473896742, -104.0629910882399 49.00002672536486, -102.9379588267395 49.00002620732447, -102.9394149346799 48.72866934439835, -102.88481057609 48.72732280200133, -102.8850177922477 48.63678161862762))",2021-10-09,36.2,819,2264,0.0642369020501139
4196,Burke,North Dakota,38013,"POLYGON ((-102.234169091541 48.54927749886978, -102.8830657642378 48.55272184584369, -102.8850177922477 48.63678161862762, -102.88481057609 48.72732280200133, -102.9394149346799 48.72866934439835, -102.9379588267395 49.00002620732447, -102.0222644092151 49.00001527667215, -102.0193623469259 48.80234536010596, -102.1547405480785 48.80234059413434, -102.157028421676 48.72242467826879, -102.2341856170296 48.7224912982635, -102.234169091541 48.54927749886978))",2021-10-09,34.2,723,2115,0.05406633348477963
4496,Renville,North Dakota,38075,"POLYGON ((-101.0613064194511 48.46031483638167, -101.8462039260504 48.46120431173876, -101.8456554766849 48.72214182821348, -102.0183010375701 48.72607220068535, -102.0193623469259 48.80234536010596, -102.0222644092151 49.00001527667215, -101.5004374504142 49.00002009444782, -101.4961590066014 48.71819192561873, -101.4551964129319 48.71791715699357, -101.4551583369629 48.54651981443858, -101.0615816025086 48.54390008416439, -101.0613064194511 48.46031483638167))",2021-10-09,32.7,762,2327,0.05302366345311127
4796,Bottineau,North Dakota,38009,"POLYGON ((-101.0615816025086 48.54390008416439, -101.4551583369629 48.54651981443858, -101.4551964129319 48.71791715699357, -101.4961590066014 48.71819192561873, -101.5004374504142 49.00002009444782, -100.1879082905915 49.00000222205421, -100.1860598706604 48.71826932085365, -100.1513235008824 48.71639619039578, -100.1480568935678 48.54298848848246, -100.2822868581863 48.54291974452214, -100.4117492452516 48.54259938834227, -100.4128661403418 48.63273240768929, -101.0632382438857 48.62708783955253, -101.0615816025086 48.54390008416439))",2021-10-09,43.5,2734,6282,0.09797773945759525
5096,Rolette,North Dakota,38079,"POLYGON ((-100.1480568935678 48.54298848848246, -100.1513235008824 48.71639619039578, -100.1860598706604 48.71826932085365, -100.1879082905915 49.00000222205421, -99.53356597726938 49.0000086457551, -99.53317573744033 48.72305694657008, -99.49849158613408 48.72056237485516, -99.49596992090653 48.54201840604002, -100.1480568935678 48.54298848848246))",2021-10-09,53.1,7522,14176,0.8097152703700665
5396,Towner,North Dakota,38095,"POLYGON ((-99.49337262178142 48.37468638547963, -99.49596992090653 48.54201840604002, -99.49849158613408 48.72056237485516, -99.53317573744033 48.72305694657008, -99.53356597726938 49.0000086457551, -99.00040341397167 49.00000652178949, -98.99948197552224 48.7207791747602, -98.96331016761556 48.71995134621004, -98.96592678964738 48.54708390862398, -98.96998351217144 48.37300534439999, -99.21263290762488 48.37413394720311, -99.49337262178142 48.37468638547963))",2021-10-09,42.0,919,2189,0.08094357076780756
5696,Cavalier,North Dakota,38019,"POLYGON ((-97.92655188570299 48.54652960540204, -98.32012996706229 48.54687622622988, -98.96592678964738 48.54708390862398, -98.96331016761556 48.71995134621004, -98.99948197552224 48.7207791747602, -99.00040341397167 49.00000652178949, -97.93786780466489 48.99999191305037, -97.947208228387 48.71864096303255, -97.92409046857331 48.71717998551242, -97.92655188570299 48.54652960540204))",2021-10-09,54.1,2037,3762,0.05399568034557234
5995,Pembina,North Dakota,38067,"POLYGON ((-97.16043567458043 48.54507790080497, -97.92655188570299 48.54652960540204, -97.92409046857331 48.71717998551242, -97.947208228387 48.71864096303255, -97.93786780466489 48.99999191305037, -97.22943642753313 48.99998776872721, -97.21636911760605 48.93182991930013, -97.17572750176485 48.87375779831051, -97.17120438747378 48.83598047961367, -97.1804218802103 48.81553751776809, -97.16471240885996 48.81036830349719, -97.17394471755176 48.80151447511748, -97.14751600616572 48.78117009635894, -97.13924600931044 48.76354211421218, -97.14789837178078 48.75565339508714, -97.13250179682861 48.74721876499453, -97.13480614411073 48.7262379218075, -97.11010126394089 48.70858305336427, -97.11673927814188 48.69524309877764, -97.0971692661648 48.67452889098158, -97.10763005584775 48.62994659366467, -97.12744432387076 48.62979434159277, -97.12295819766383 48.62076867921427, -97.14471806999587 48.61402462214456, -97.14081189001041 48.5869058291492, -97.15819230065271 48.58364072415173, -97.15212682469556 48.57285641824252, -97.16794316777927 48.56226326923881, -97.14661839757444 48.54953703710735, -97.16043567458043 48.54507790080497))",2021-10-09,47.3,3218,6801,0.09804208065458797
6295,Kittson,Minnesota,27069,"POLYGON ((-97.16043567458043 48.54507790080497, -97.14661839757444 48.54953703710735, -97.16794316777927 48.56226326923881, -97.15212682469556 48.57285641824252, -97.15819230065271 48.58364072415173, -97.14081189001041 48.5869058291492, -97.14471806999587 48.61402462214456, -97.12295819766383 48.62076867921427, -97.12744432387076 48.62979434159277, -97.10763005584775 48.62994659366467, -97.0971692661648 48.67452889098158, -97.11673927814188 48.69524309877764, -97.11010126394089 48.70858305336427, -97.13480614411073 48.7262379218075, -97.13250179682861 48.74721876499453, -97.14789837178078 48.75565339508714, -97.13924600931044 48.76354211421218, -97.14751600616572 48.78117009635894, -97.17394471755176 48.80151447511748, -97.16471240885996 48.81036830349719, -97.1804218802103 48.81553751776809, -97.17120438747378 48.83598047961367, -97.17572750176485 48.87375779831051, -97.21636911760605 48.93182991930013, -97.22943642753313 48.99998776872721, -96.40691520121398 48.99998207028287, -96.40791419031042 48.72316387010747, -96.39132684770782 48.72166466120625, -96.39247736361961 48.54750657778172, -97.15553749904383 48.53839823615628, -97.16043567458043 48.54507790080497))",2021-10-09,47.5,2042,4298,0.04658901830282858
6594,Roseau,Minnesota,27135,"POLYGON ((-96.39247736361961 48.54750657778172, -96.39132684770782 48.72166466120625, -96.40791419031042 48.72316387010747, -96.40691520121398 48.99998207028287, -95.27665710362751 48.99999118779381, -95.31012059635258 48.993395445689, -95.32323587682019 48.97895631299366, -95.32091645456259 48.96097699585145, -95.30375729897271 48.94593890485217, -95.31417172404038 48.93207199957641, -95.29026017093044 48.90294958174785, -95.21957848050616 48.87944650348885, -95.13382124476209 48.89448474990026, -95.09491035007436 48.91176243313237, -95.09435905148669 48.71735751795556, -95.34105289190684 48.71517195733587, -95.34283127277658 48.546679319076, -95.6030923839084 48.54297543386453, -96.39247736361961 48.54750657778172))",2021-10-09,45.4,6892,15165,0.10234166068749595
