,NAME,STATE_NAME,FIPS,geometry,Date,Series_Complete_Pop_Pct,Series_Complete_Yes,POPESTIMATE2019,Minority_Pct
534134,Edgecombe,North Carolina,37065,"POLYGON ((-77.67091619233096 35.67042403632394, -77.73284590111706 35.73970541175827, -77.75719193470574 35.79826013917926, -77.7547045637523 35.82499319929698, -77.76683572288277 35.83702075034859, -77.82984927578192 35.85465189254176, -77.70020578179476 36.14432200144829, -77.68532056451585 36.14675591063303, -77.64205351995614 36.12685528527628, -77.60595050781382 36.09754756439867, -77.54757683551064 36.08864856289658, -77.53638426196665 36.08251848730225, -77.53555249630948 36.05572808011287, -77.52482522664768 36.03554092661402, -77.4636664137724 36.02653873146537, -77.43790872010915 36.01419077242986, -77.4254342038053 35.99621995115012, -77.40500206900396 35.99487351236119, -77.34205746728131 35.90816261605517, -77.35778942158477 35.81546990731567, -77.39649455062786 35.82857695094101, -77.40538298410591 35.81742281599426, -77.41826944613135 35.82224447696461, -77.42668485692532 35.80835524414785, -77.45440317806904 35.79397382115243, -77.47292793994245 35.79981783484101, -77.50520874644724 35.76691237522873, -77.67091619233096 35.67042403632394))",2021-10-09,40.5,20850,51472,0.6394478527607361
534433,DeKalb,Tennessee,47041,"POLYGON ((-86.00644329255239 35.95887524798661, -86.0119517196735 35.99989322017429, -86.04446838996982 36.04804849389502, -86.05381446033223 36.09280112289359, -86.00134670754477 36.09399883228531, -85.9892767807889 36.10862409689435, -85.98261618002672 36.10479432786705, -85.93680825094084 36.12159437785557, -85.91655178363722 36.10419241673286, -85.90728181340874 36.11934416579467, -85.869408709043 36.10095057174911, -85.85511856476506 36.10187387514394, -85.84719897043252 36.12433066721849, -85.81508611262358 36.12833646637178, -85.80776931009389 36.13809826415066, -85.80123086325669 36.12018862344149, -85.76978192601715 36.09923513278729, -85.77563386572376 36.08443808598348, -85.75924565784874 36.07030495974907, -85.72931463076866 36.0879784776465, -85.69147183176598 36.08132595831447, -85.64980687892981 36.02686841237232, -85.63292259557316 36.02314546327435, -85.63308298087925 35.99772470308357, -85.65463651772222 35.97662973559767, -85.64562556769091 35.90777988781183, -85.65788623691998 35.89001141311012, -85.63783558706503 35.88209990020772, -85.66702628261756 35.85534808702772, -85.63679779674304 35.8466507068471, -85.66721686967863 35.82901588656713, -85.73514325865752 35.85616073699433, -85.7836368645598 35.85178541962775, -85.81737486688982 35.85873938666524, -85.87816732159823 35.84653274904932, -86.00644329255239 35.95887524798661))",2021-10-09,35.2,7212,20490,0.11538844621513944
534732,Caldwell,North Carolina,37027,"POLYGON ((-81.32794143828174 35.7951911642751, -81.3764655049592 35.7501663050493, -81.41738339174269 35.75603694601415, -81.45695882864828 35.78006547264513, -81.56007316321693 35.77557862118165, -81.59318646063541 35.81325600988641, -81.70165080557258 35.86892691004019, -81.74826962328773 35.92088682782908, -81.77330268204739 35.92233226413738, -81.77551600963221 35.94407612902123, -81.80261718925416 35.9604599335529, -81.73209805990562 36.05860501744284, -81.80605314397367 36.1046889066468, -81.65883134791358 36.11772109343516, -81.54592750040497 36.11152258470473, -81.51713269132181 36.09556207097928, -81.45425590108677 36.08318753647154, -81.42945124633698 36.06579272430627, -81.39796319704766 36.05618747833457, -81.38852481188698 36.03769773599182, -81.34716368974209 36.01548877444193, -81.32168003944744 35.98945740003833, -81.32907320113127 35.98937731099338, -81.3393801328171 35.92937238129245, -81.33049081867038 35.87593262931307, -81.33702118407741 35.82776083010376, -81.32794143828174 35.7951911642751))",2021-10-09,41.2,33867,82178,0.14622080047611963
535031,Rutherford,Tennessee,47149,"POLYGON ((-86.69315795011694 35.71787487871644, -86.69437099350434 35.76193747790974, -86.6758997970077 35.77057766643082, -86.64580102844793 35.77167249300022, -86.64321471177918 35.79521639284231, -86.60810333255971 35.79345412302883, -86.60628029660798 35.90098884447835, -86.61854112124917 35.92216763090006, -86.60744013724688 35.94504408749806, -86.61244528812489 35.97784236455274, -86.59808645169068 35.98158080305852, -86.59887237077292 36.00565486544016, -86.58732120966796 36.02488789214072, -86.55412497398234 36.0444948403979, -86.55034840770354 36.06845400142009, -86.51740399145361 36.06627222249527, -86.50476955608003 36.09772312828832, -86.42408756207934 36.05073909209516, -86.37291661981101 36.03533567900978, -86.37025384038006 36.01710977463986, -86.29923112396418 35.98753495213494, -86.28329324860395 35.97439739593037, -86.15270764635565 35.95627017825558, -86.15363094975049 35.93541589233689, -86.13227618500683 35.9171097435099, -86.14506323508058 35.91065925993166, -86.15028192220915 35.89537427088042, -86.16511362591532 35.89397431851876, -86.16690687454438 35.85316599727867, -86.18295980667619 35.79777825800444, -86.17592564698565 35.7639849289603, -86.20171354240389 35.74472879765816, -86.21221168279929 35.71187736965902, -86.23375744903635 35.69839640447704, -86.24097494322244 35.67544011785427, -86.2312014895347 35.66563661782366, -86.23398621567449 35.6402885387002, -86.30926572181471 35.65459634815559, -86.3096700523425 35.671861287594, -86.31859645818145 35.67527905909567, -86.36923267915472 35.65619781823066, -86.37408505992045 35.63453072693325, -86.38654387960035 35.63440473950934, -86.38765020666651 35.62126718330478, -86.401749297647 35.62254492993743, -86.40470181707052 35.6335195120835, -86.41546690368112 35.63334772988873, -86.42031146203689 35.6534507018235, -86.45627641641411 35.64620632134094, -86.4554218569796 35.65345028739118, -86.46960492230804 35.65290463544383, -86.4725650051213 35.66387543589501, -86.48789247348486 35.6629025042304, -86.49986283287694 35.67546389590837, -86.4976044357778 35.68947885712883, -86.53884205709268 35.70731219048791, -86.62768090792655 35.71085978291241, -86.63173990982834 35.69325537160358, -86.69315795011694 35.71787487871644))",2021-10-09,45.4,150833,332285,0.3375218896235863
535330,White,Tennessee,47185,"POLYGON ((-85.59730680042172 35.79722452462693, -85.66721686967863 35.82901588656713, -85.63679779674304 35.8466507068471, -85.66702628261756 35.85534808702772, -85.63783558706503 35.88209990020772, -85.65788623691998 35.89001141311012, -85.64562556769091 35.90777988781183, -85.65463651772222 35.97662973559767, -85.63308298087925 35.99772470308357, -85.63292259557316 36.02314546327435, -85.60855366459906 36.02099041523388, -85.59796357203368 36.04969943682775, -85.58358934979974 36.05240795922553, -85.55303252992329 36.08136501856021, -85.50020504988598 36.08913577988746, -85.35669195681302 36.05653705199268, -85.3346729088717 36.04260228342525, -85.3073893272269 36.04164494477651, -85.31023533754534 36.01086826855671, -85.2894521785728 35.99560208437179, -85.25923104887188 35.98635547776509, -85.26319835762388 35.97650980924638, -85.24129276052891 35.92077762491395, -85.23765326773847 35.91474281694814, -85.21142213695882 35.91607055447884, -85.21165079998887 35.90200202788161, -85.22835237049844 35.89806134640588, -85.21568669728907 35.88080008505428, -85.23469934960588 35.82562453512557, -85.24794429558419 35.8020269144946, -85.26401245810359 35.79896752333774, -85.27271051173672 35.81608394059509, -85.25999961360093 35.830163864081, -85.34611569592617 35.80277822847852, -85.45673120360085 35.82566981185604, -85.51450301657387 35.81763236333377, -85.52915174841277 35.79814337287438, -85.56685716310287 35.80439202791497, -85.59730680042172 35.79722452462693))",2021-10-09,37.3,10198,27345,0.08529852656210013
535629,Yancey,North Carolina,37199,"POLYGON ((-82.27904795747453 35.69767285745827, -82.28142151495332 35.72032034020197, -82.32169148861561 35.73996479458371, -82.34169712076029 35.76362276692062, -82.34524611189386 35.80530911482508, -82.3751012978602 35.81651583087185, -82.40566562932236 35.8140851853416, -82.4413363367556 35.88233985651838, -82.48694715147144 35.90499402198317, -82.48380502926359 35.94771821201365, -82.50679390062717 35.97265030470045, -82.47505522339507 35.99328442345154, -82.4082829248067 36.07542661791177, -82.38503529226615 36.07861603720762, -82.34435347649035 36.07035044369569, -82.34011771920602 36.02550948880989, -82.32953503461827 36.01437478037793, -82.30954520270562 36.01158668697558, -82.30154976725935 36.02943929143733, -82.25870798205935 35.98578931141812, -82.24046529318065 35.98431750685375, -82.2319509884754 36.00399003902486, -82.1988987680194 36.00188606976728, -82.19561646408086 35.94749307165827, -82.1844537814676 35.93499296415895, -82.14940990291151 35.92156691125878, -82.14085633074437 35.90039201014002, -82.14649245482271 35.8186013578914, -82.11868958948662 35.81865191863388, -82.15443453210837 35.79849009731031, -82.16413090138543 35.76064450088951, -82.21162484473874 35.71710641759547, -82.27904795747453 35.69767285745827))",2021-10-09,44.8,8103,18069,0.08684353004872769
535928,Martin,North Carolina,37117,"POLYGON ((-77.17814130147313 35.73235296804944, -77.20734800447384 35.7552865126989, -77.26050402572923 35.75924972893178, -77.26418920968247 35.78293883549639, -77.35778942158477 35.81546990731567, -77.34205746728131 35.90816261605517, -77.40500206900396 35.99487351236119, -77.33189569051396 36.06813841121186, -77.31494255958891 36.04824120492171, -77.27640522382954 36.02785584916798, -77.21349097927398 36.00552131462651, -77.21522278831227 35.98922500711744, -77.19308148283788 35.98825238627705, -77.19557615816088 35.93611343372787, -77.18835845675862 35.9314061560766, -77.08969139536734 35.92540232692637, -77.06597840714055 35.93616741353696, -77.04056396704259 35.93191036479242, -77.03385736429338 35.91449260343768, -77.04799479026308 35.85765010312806, -77.00410122765044 35.86199900043452, -76.99040605276541 35.87799784914915, -76.93577009371145 35.89475987497273, -76.90448050569721 35.86807260962587, -76.89815492165805 35.81434301404586, -76.87815752635564 35.81745208527654, -76.85639786123976 35.83594198303142, -76.8345089450455 35.88438844725781, -76.8102007284056 35.88147037752051, -76.78273355324505 35.85939507039236, -76.80634671508786 35.81100201613063, -76.804942566599 35.79053631231173, -76.82562621001178 35.75704334308823, -76.83797753630985 35.70561788757418, -76.97958444794779 35.65028920490491, -77.16096691549565 35.73693824718784, -77.17814130147313 35.73235296804944))",2021-10-09,83.5,18743,22440,0.47237982842358495
536228,Wake,North Carolina,37183,"POLYGON ((-78.92081116023533 35.57901238967561, -78.99854752474977 35.60147534643085, -78.93861942043932 35.76159437975657, -78.94416607894155 35.77026487364072, -78.90544618574722 35.86066333688579, -78.82768599137464 35.86037820745274, -78.80802459707201 35.92007303817361, -78.76323161272671 35.91462257977261, -78.73392653385513 35.9347335813335, -78.70707049094777 35.97709146500114, -78.70388133067213 35.99747303906, -78.71589774385525 36.02663964573419, -78.72783033810258 36.02721922932737, -78.75312231345131 36.01160911812465, -78.74884961988687 36.06373662198112, -78.69529786757423 36.06679311211178, -78.54775037951821 36.01427593827069, -78.4308655469912 35.9728689695509, -78.39419812983925 35.93245270128125, -78.35983469734113 35.9188269956131, -78.32926342413769 35.88800105375179, -78.3081294482101 35.89360122582676, -78.26656437356195 35.84853171151896, -78.25426609460025 35.81568023171577, -78.47736241799753 35.69576745308383, -78.70295170718448 35.52009907469365, -78.92081116023533 35.57901238967561))",2021-10-09,62.1,690765,1111761,0.4122311649445286
536527,Roberts,Texas,48393,"POLYGON ((-101.0941589871392 35.62469624808705, -101.0827459874073 36.05629916784359, -100.5410135854741 36.05817587278018, -100.5435937374622 35.6253233359844, -101.0862393410026 35.62476872193822, -101.0941589871392 35.62469624808705))",2021-10-09,0.0,0,854,0.1088270858524788
536826,Hemphill,Texas,48211,"POLYGON ((-100.0003924837948 35.61885622330951, -100.5435937374622 35.6253233359844, -100.5410135854741 36.05817587278018, -99.99755362243381 36.05759136780324, -99.99812310423931 35.88383751129842, -100.0003924837948 35.61885622330951))",2021-10-09,0.0,0,3819,0.29863985807214666
537126,Roane,Tennessee,47145,"POLYGON ((-84.7059182165514 35.74457535409336, -84.70331646227889 35.74992355132051, -84.71330376304141 35.75350927151803, -84.74817150786342 35.75854441693488, -84.73823031269599 35.79040105196477, -84.77459374374453 35.80820760263546, -84.78236864939495 35.82941343076575, -84.76380544892427 35.82640387509483, -84.74479989376088 35.83972507661917, -84.67870462216388 35.91429191458891, -84.66315532890344 35.91729048780348, -84.65148206567753 35.93090153292847, -84.61379913394056 35.9329925511762, -84.6063298721228 35.95176488455406, -84.55051117504453 35.95263550324079, -84.54490354318789 35.96875660948849, -84.43837734277807 35.99562120006235, -84.34085468442193 36.05639816536295, -84.26621728935049 35.9077508257457, -84.2657364960605 35.89818733382978, -84.28769508868781 35.90142575974694, -84.28679452726628 35.88139474362294, -84.32730886058258 35.88770763567244, -84.34835886216226 35.83727676591148, -84.37833609844552 35.81403716299704, -84.38299758132592 35.78697545805314, -84.37502431800851 35.77890739334357, -84.38183763707895 35.77056834170372, -84.4091143287865 35.77855600654409, -84.42518238769782 35.75062052286706, -84.44814064287408 35.76386495080497, -84.52433101943969 35.69256731035182, -84.54742614088813 35.68626524534657, -84.54672404074169 35.66215253715151, -84.56365442969343 35.66331590046508, -84.57470987794505 35.65014368735814, -84.61303404008216 35.65354985475498, -84.61487287626591 35.66907568078554, -84.62329610946983 35.67033063364083, -84.6154757198728 35.7127195479281, -84.62085468869938 35.7261167459783, -84.64732976470073 35.72901948171993, -84.6610479923833 35.70958732029179, -84.67397273759387 35.71147930742001, -84.67333943321179 35.72145091155858, -84.69821226207748 35.72291173366659, -84.69415320837165 35.74228281813224, -84.7059182165514 35.74457535409336))",2021-10-09,38.9,20791,53382,0.09252115946371053
537425,Hutchinson,Texas,48233,"POLYGON ((-101.0941589871392 35.62469624808705, -101.622712027008 35.62544808011135, -101.6199437745528 36.05474577191711, -101.0827459874073 36.05629916784359, -101.0941589871392 35.62469624808705))",2021-10-09,0.0,0,20938,0.25939758451763106
537724,Hartley,Texas,48205,"POLYGON ((-103.0222940416011 35.6236479933491, -103.0226122738153 35.74232731780211, -103.0240479709642 36.05606185353894, -102.1680321176923 36.05466096870457, -102.1609067310883 35.62502556636574, -103.0222940416011 35.6236479933491))",2021-10-09,0.0,0,5576,0.30397621701969524
538024,Williamson,Tennessee,47187,"POLYGON ((-86.69315795011694 35.71787487871644, -86.73041323950839 35.70649591423854, -86.73229771505089 35.71698224331294, -86.74360472371801 35.71769941843488, -86.74574868569404 35.70548884371195, -86.7554382168379 35.70389820068112, -86.75619357153688 35.71435785067521, -86.78298858928578 35.70998274052479, -86.81060760208591 35.7301279327517, -86.92345643370463 35.76213728608984, -86.91720783046807 35.77924961082807, -86.92898024662547 35.78313677873106, -86.9338097818098 35.77461879593901, -86.94732172580736 35.77763244412905, -86.94240065288534 35.78887407609841, -86.95142641887193 35.79043047665917, -86.95807173744248 35.7783191584758, -87.21380729949335 35.85522588129869, -87.19632017252982 35.94519328313163, -87.20421676586886 35.94716162941397, -87.20195075357593 35.96572348297961, -87.20926750430158 35.96813433936681, -87.20816884423326 35.9858112245268, -87.19054454017329 35.98547170085234, -87.18156394730909 36.05608350762743, -87.04745147425207 36.04931251245721, -87.0419660999285 35.99020933567073, -87.03059801429889 35.98997285023071, -86.92154869814843 36.0525546682652, -86.77915887206252 36.03895144555017, -86.74886210846404 36.02691254941392, -86.74878585291799 36.01329451074361, -86.6995446111186 36.00624931679267, -86.63235083486539 35.97786894002498, -86.61244528812489 35.97784236455274, -86.60744013724688 35.94504408749806, -86.61854112124917 35.92216763090006, -86.60628029660798 35.90098884447835, -86.60810333255971 35.79345412302883, -86.64321471177918 35.79521639284231, -86.64580102844793 35.77167249300022, -86.6758997970077 35.77057766643082, -86.69437099350434 35.76193747790974, -86.69315795011694 35.71787487871644))",2021-10-09,57.6,137434,238412,0.17812421788589006
538323,Moore,Texas,48341,"POLYGON ((-102.1609067310883 35.62502556636574, -102.1680321176923 36.05466096870457, -101.6199437745528 36.05474577191711, -101.622712027008 35.62544808011135, -102.1609067310883 35.62502556636574))",2021-10-09,0.0,0,20940,0.5577769454068733
538623,Madison,North Carolina,37115,"POLYGON ((-82.89584177054198 35.94846258425629, -82.85613713436204 35.94752855742529, -82.8085351795865 35.92097515371632, -82.7763084564989 35.95667735800554, -82.77346332684913 35.9876069079457, -82.76309490376848 35.99965000020914, -82.64375533683288 36.05182904908485, -82.62790879199419 36.05444613735303, -82.60426423690349 36.04309405917161, -82.59209422474343 36.02255608871771, -82.60566646864289 36.00365419343721, -82.59916490628179 35.96340577025533, -82.55400525294537 35.95621593942629, -82.50679390062717 35.97265030470045, -82.48380502926359 35.94771821201365, -82.48694715147144 35.90499402198317, -82.4413363367556 35.88233985651838, -82.40566562932236 35.8140851853416, -82.50040247365389 35.79623796849994, -82.76616222094339 35.69410537228262, -82.80548495774461 35.68501055151147, -82.84312965810049 35.69183044969491, -82.88097199086681 35.67366443079459, -82.90740251539424 35.72795014273792, -82.95205132909778 35.73909956351708, -82.9429118014406 35.76656544357664, -82.96261976757469 35.79195196129736, -82.90668912196719 35.87231717359692, -82.91393873465775 35.92796973512073, -82.89584177054198 35.94846258425629))",2021-10-09,43.0,9362,21755,0.08587741235313551
538923,Iredell,North Carolina,37097,"POLYGON ((-80.72630968327994 35.50770635696807, -80.77602410317553 35.50694665072977, -80.95514299322031 35.50925581578755, -80.95087050687201 35.52880236053475, -80.96123147017097 35.54369861207407, -80.93107183186487 35.61972616854373, -81.0033776825335 35.69718978479054, -81.05457975902951 35.71353546154918, -81.07200586083459 35.7437820788375, -81.10868902641454 35.77203335993893, -81.04890364223274 35.83610128045267, -80.99514508819468 35.97721056248781, -81.02036883762349 36.03506780032186, -80.98875138184367 36.05348164974684, -80.8772050073844 36.05254031854628, -80.68936185086253 36.04561427388604, -80.70575964248485 35.85179583223967, -80.76591381962338 35.68217640431806, -80.72630968327994 35.50770635696807))",2021-10-09,44.2,80376,181806,0.25348566898598235
539222,Davie,North Carolina,37059,"POLYGON ((-80.45655149301076 35.74593526193254, -80.48847376375861 35.77575465130765, -80.52650777147083 35.78194590747255, -80.57211040114845 35.81395085746734, -80.60734434872522 35.82239647001631, -80.63472718690956 35.84039775207123, -80.70575964248485 35.85179583223967, -80.68936185086253 36.04561427388604, -80.4953240709132 36.04340312207087, -80.48391019051273 36.03845925537151, -80.46464535613197 36.05033077265634, -80.44972941905766 36.0299753596374, -80.41775368654112 36.00876932429095, -80.41136775079602 35.98474820563761, -80.38001770746776 35.96806678689939, -80.3628434769024 35.94226060465522, -80.3614855376167 35.89598861498408, -80.40571458318871 35.88450650866368, -80.38628200732826 35.85870788980927, -80.38621336697601 35.84555111430608, -80.39526213395611 35.83962312626957, -80.41458037830152 35.84500183607595, -80.42584941460774 35.83044510821109, -80.44628160121312 35.8308228114626, -80.45757348310072 35.82261373615769, -80.4792034827059 35.83341689873727, -80.47266508767274 35.78625631437772, -80.45042478467899 35.76501619197332, -80.45655149301076 35.74593526193254))",2021-10-09,49.3,21132,42846,0.17259786476868333
539522,Sevier,Tennessee,47155,"POLYGON ((-83.25317743508884 35.70080368638551, -83.25899881041218 35.69110674726402, -83.29829160447862 35.65642332121432, -83.34290280844954 35.65335548599902, -83.38697214216798 35.62531318239267, -83.45817311628355 35.59737329537229, -83.50568368873351 35.55964539772908, -83.56092264680649 35.55526878526152, -83.61375064488418 35.57183089929692, -83.67276627284403 35.5650623907206, -83.66324443137582 35.68510628537635, -83.70584087264506 35.72174909560957, -83.729081149012 35.76697536894068, -83.73000476323108 35.78474793616151, -83.78893859261265 35.88486665034583, -83.76423428228726 35.91822259788502, -83.75358331997553 35.92361674529515, -83.74152069758924 35.91757836285062, -83.69143266696125 35.94740987437094, -83.68110962421915 35.94100140386869, -83.67853869335011 35.95223567966444, -83.6568554391924 35.96026204212227, -83.6473572721702 35.9947925944516, -83.66664578099699 36.01801204559469, -83.66646353438627 36.04254400388089, -83.65369161109203 36.04555397398414, -83.62105076651318 36.01076875299695, -83.60125970669984 36.01615155532245, -83.53762735454966 35.97752532383141, -83.51109073534947 35.94573820982244, -83.47896176648426 35.92729876920198, -83.41187429211998 35.93342656541857, -83.34471755575497 35.91905814523706, -83.30792668957704 35.90259860319973, -83.30997087697311 35.88452080657856, -83.26427453378817 35.82438709203561, -83.28247065083541 35.80351664325661, -83.28136230341171 35.74070807894151, -83.27084820737218 35.716512018047, -83.24944671538495 35.71447539404068, -83.25317743508884 35.70080368638551))",2021-10-09,43.2,42472,98250,0.12933523073795483
539821,Alexander,North Carolina,37003,"POLYGON ((-81.10868902641454 35.77203335993893, -81.12708401916916 35.78910014892649, -81.14120657737953 35.82345125206322, -81.32794143828174 35.7951911642751, -81.33702118407741 35.82776083010376, -81.33049081867038 35.87593262931307, -81.3393801328171 35.92937238129245, -81.32907320113127 35.98937731099338, -81.32168003944744 35.98945740003833, -81.23581608738213 36.02395386530972, -81.15726836800208 36.02111256915887, -81.12386564141528 36.0314163407983, -81.08388597758997 36.02089949914468, -81.02036883762349 36.03506780032186, -80.99514508819468 35.97721056248781, -81.04890364223274 35.83610128045267, -81.10868902641454 35.77203335993893))",2021-10-09,38.8,14535,37497,0.1415870925255186
540121,Davidson,North Carolina,37057,"POLYGON ((-80.06417821819659 35.50583809608992, -80.18168283425139 35.50525892692904, -80.20898801818062 35.57465157744007, -80.25099601736594 35.62494050413298, -80.28555806655123 35.63711321010308, -80.32536859018778 35.68329376564462, -80.32606229807985 35.71415063451747, -80.37703602237004 35.71082450436155, -80.45655149301076 35.74593526193254, -80.45042478467899 35.76501619197332, -80.47266508767274 35.78625631437772, -80.4792034827059 35.83341689873727, -80.45757348310072 35.82261373615769, -80.44628160121312 35.8308228114626, -80.42584941460774 35.83044510821109, -80.41458037830152 35.84500183607595, -80.39526213395611 35.83962312626957, -80.38621336697601 35.84555111430608, -80.38628200732826 35.85870788980927, -80.40571458318871 35.88450650866368, -80.3614855376167 35.89598861498408, -80.3628434769024 35.94226060465522, -80.38001770746776 35.96806678689939, -80.33005882431007 35.98137249901595, -80.33407959483077 35.99270209424427, -80.21183724034951 35.990260932494, -80.20964743179859 36.02156435218677, -80.12091374316478 36.02169008059048, -80.03786425275788 36.00632059915093, -80.04236643821703 35.91694966902804, -80.06417821819659 35.50583809608992))",2021-10-09,40.8,68433,167609,0.21907298881193393
540420,Roger Mills,Oklahoma,40129,"POLYGON ((-99.37530484401393 35.81459545513002, -99.37462600388118 35.55140228717026, -99.35880981620959 35.54950636293505, -99.36086850873671 35.50640058435009, -99.57384879833344 35.50736186010583, -99.57316778243104 35.42702503641988, -99.99474340870661 35.42462215785476, -100.0003924837948 35.61885622330951, -99.99812310423931 35.88383751129842, -99.92485649585534 35.91557204420737, -99.89808510074843 35.97271583681034, -99.85937292635597 36.00397713981904, -99.83717846993711 36.01030189499357, -99.81899701343305 36.0052857616592, -99.80141808971162 35.98665506052514, -99.80607143935784 35.94311443883318, -99.79931883462163 35.92041722421161, -99.76759445530442 35.89268476056512, -99.72225923807837 35.86763792193098, -99.66670831607992 35.84934679627542, -99.60597735276633 35.85142600320215, -99.56217662299237 35.86896985558887, -99.5489476326582 35.89886161520707, -99.51695014244508 35.93004288097485, -99.47444741468318 35.99655154880654, -99.42541224935266 36.01447237918823, -99.38451005919312 36.0088227342556, -99.38546900376708 35.89041952533278, -99.37581760039625 35.88991215657056, -99.37530484401393 35.81459545513002))",2021-10-09,31.8,1139,3583,0.14439279488669376
540720,Santa Fe,New Mexico,35049,"POLYGON ((-105.7052746131501 35.04742327046763, -106.2340258552738 35.04606372525672, -106.2350312162671 35.22094411240307, -106.2461110124173 35.77419648940955, -106.1605536366573 35.83254928468483, -106.2004178292787 35.84438966774196, -106.2187057430838 35.84118911057763, -106.2466679058412 35.85273581653521, -106.2463168298659 35.94077735139814, -106.0365129049471 35.94209073920992, -106.0342087130771 35.98651202957227, -106.0527178819347 36.00785104588794, -105.7125780502376 36.00530228714777, -105.7110522658641 35.97484627793207, -105.7131048973186 35.88820075832381, -105.6988986755846 35.66625904335746, -105.7063527070147 35.66419522223044, -105.7102044409548 35.29965776012143, -105.7039863502974 35.29993625863743, -105.7052746131501 35.04742327046763))",2021-10-09,62.5,94026,150358,0.4256990240468147
541020,McKinley,New Mexico,35031,"POLYGON ((-109.046640803299 34.95464622475194, -109.0478464905128 35.99666396357212, -107.6244793764701 36.00324830878824, -107.302045336587 36.00180971061316, -107.2948064991367 35.31232643796507, -107.6204980806275 35.31567365236504, -107.6203304427558 35.35607380957842, -107.7240699484724 35.35724079917476, -107.7298527815904 35.31463570663094, -108.4591037359344 35.31296699491268, -108.4593674702992 34.95613502104123, -109.046640803299 34.95464622475194))",2021-10-09,99.9,71277,71367,0.8952154947738059
541319,Hickman,Tennessee,47081,"POLYGON ((-87.33289017741356 35.66094073706106, -87.37721034629094 35.65539040047204, -87.41357310388697 35.63016064177465, -87.44663972586594 35.62120776407155, -87.51127733540135 35.6381976758646, -87.5362796743656 35.63452782590704, -87.56955216559727 35.66185145207432, -87.57973772041872 35.662019193554, -87.61483418007482 35.63943268416472, -87.61177478891796 35.62576885072353, -87.63036813933958 35.62923992858179, -87.65559940035411 35.61556822092662, -87.69055806126532 35.64469612998334, -87.7125084688544 35.65002495249975, -87.74597185797137 35.67185558914966, -87.73885315408847 35.71032210878712, -87.70993686453284 35.7112530791798, -87.71742140854222 35.73042523613401, -87.73493138108715 35.73295798742599, -87.71867283872284 35.84661491025585, -87.70798395585425 35.91452296060478, -87.66240458619035 35.92017643903633, -87.59445529982602 35.95631638745876, -87.56212854313827 35.95352798323216, -87.53767568962029 35.97581304491599, -87.53133560045008 36.00111921457154, -87.3000900872175 35.9730246406894, -87.20926750430158 35.96813433936681, -87.20195075357593 35.96572348297961, -87.20421676586886 35.94716162941397, -87.19632017252982 35.94519328313163, -87.21380729949335 35.85522588129869, -87.22886067268428 35.73161372440671, -87.25464867171061 35.72211923547133, -87.24878922041827 35.7092984609679, -87.25703683792852 35.69856419776077, -87.29510835176531 35.69473805501624, -87.33289017741356 35.66094073706106))",2021-10-09,35.9,9030,25178,0.1032698094282849
541619,Crockett,Tennessee,47033,"POLYGON ((-89.06629519454719 35.68857705241037, -89.19854650387946 35.75387376473949, -89.26823505906374 35.76219820764022, -89.34808611627193 35.79998666420553, -89.355425764383 35.81905226025063, -89.36049183681141 35.83766006399925, -89.34172323332437 35.85896084893382, -89.34168515735539 35.87756103748865, -89.28148808647221 35.88427059306809, -89.26493208531346 35.91508897153965, -89.25073353057724 35.91415427125613, -89.21823188345236 35.94901212150661, -89.20503304306914 35.98300805614898, -89.18508196057799 35.99474933807866, -89.12387766375609 35.95419516745604, -89.12053578517218 35.94057681796149, -89.13423831623082 35.92700825214883, -89.13664896540185 35.89843656306351, -89.10723685938478 35.87565511507383, -89.08122755350199 35.85696302615304, -89.03587736490854 35.84817726828115, -89.01824554926287 35.85400584436598, -89.00303199798202 35.8376063950144, -88.95654496974318 35.83150610674274, -88.91764132762097 35.79955772675901, -88.90359507676069 35.78270053691499, -89.02220389591604 35.67524823569221, -89.06629519454719 35.68857705241037))",2021-10-09,40.9,5826,14230,0.26389188412048015
541919,Burke,North Carolina,37023,"POLYGON ((-81.8161061322582 35.57450512742059, -81.8654485473466 35.71897954805333, -81.98542763514902 35.80007856457148, -81.97512805963679 35.81840465795366, -81.93281395038247 35.82772472268827, -81.9060876765939 35.84812245960743, -81.90605845911567 35.89214055913087, -81.9411797847107 35.95510204897037, -81.92198426413469 35.98264081731342, -81.90068254672741 35.99477953983366, -81.88064686823986 35.98965285667912, -81.85970280592083 35.97046894020795, -81.80261718925416 35.9604599335529, -81.77551600963221 35.94407612902123, -81.77330268204739 35.92233226413738, -81.74826962328773 35.92088682782908, -81.70165080557258 35.86892691004019, -81.59318646063541 35.81325600988641, -81.56007316321693 35.77557862118165, -81.45695882864828 35.78006547264513, -81.41738339174269 35.75603694601415, -81.3764655049592 35.7501663050493, -81.4055339947827 35.69764182683865, -81.49550989247811 35.60668040909705, -81.52345687665189 35.56139191911456, -81.56235264456011 35.55544015302397, -81.58792715913992 35.56190550436152, -81.64372249259642 35.55342798052426, -81.68413663690046 35.56556551155158, -81.69501646945839 35.57176417569413, -81.70063959072283 35.59573960318469, -81.74943101804782 35.6018383891392, -81.76543028119475 35.58435146939182, -81.8161061322582 35.57450512742059))",2021-10-09,41.1,37172,90485,0.204396482813749
