,FIPS,POPESTIMATE2019,Minority_Pct
2287,42089,170271,0.3408128226606546
2288,42091,830915,0.26733547136020774
2289,42093,18230,0.1041023378914866
2290,42095,305285,0.23797974762822294
2291,42097,90843,0.0963042980130282
2292,42099,46272,0.05822171807512766
2293,42101,1584064,0.6367146216135833
2294,42103,55809,0.1935935764926967
2295,42105,16526,0.04806050256160044
2296,42107,141359,0.10376863871820141
2297,42109,40372,0.060599959734246034
2298,42111,73447,0.06527809629159975
2299,42113,6066,0.06866438356164384
2300,42115,40328,0.06161211427382007
2301,42117,40591,0.06256547691558045
2302,42119,44923,0.13371289332489866
2303,42121,50668,0.06203670670313555
2304,42123,39191,0.05545909244045921
2305,42125,206865,0.10169143392134661
2306,42127,51361,0.10477959143778715
2307,42129,348899,0.084528129520136
2308,42131,26794,0.06544171237868734
2309,42133,449058,0.18236430796734715
2310,44001,48479,0.10706199673183314
2311,44003,164292,0.13651438399182925
2312,44005,82082,0.15856520673026397
2313,44007,638931,0.39129855722590245
2314,44009,125577,0.10503007570914746
2315,45001,24527,0.3053303148796048
2316,45003,170872,0.348277332827828
2317,45005,8688,0.7499689016046772
2318,45007,202558,0.24216318636546597
2319,45009,14066,0.6209150326797386
2320,45011,20866,0.4903589295254748
2321,45013,192122,0.30065146405724763
2322,45015,227907,0.3845628445016771
2323,45017,14553,0.44075359444719886
2324,45019,411406,0.3418031281002364
2325,45021,57300,0.2848477301835777
2326,45023,32244,0.4191181024338887
2327,45025,45650,0.39481894021676334
2328,45027,33745,0.5029219111225276
2329,45029,37677,0.4284012019479847
2330,45031,66618,0.45786503457594785
2331,45033,30479,0.5351689523540224
2332,45035,162809,0.37200693326730216
2333,45037,27260,0.40234633823128196
2334,45039,22347,0.5908439946534275
2335,45041,138293,0.49105859520352546
2336,45043,62680,0.3445997097974891
2337,45045,523542,0.3278075252980778
2338,45047,70811,0.405848509754726
2339,45049,19222,0.5617154248154733
2340,45051,354081,0.22873608733181594
2341,45053,30073,0.523635858427981
2342,45055,66551,0.3264376251853891
2343,45057,98012,0.3110835694050992
2344,45059,67493,0.332533795288648
2345,45061,16828,0.6508983122618112
2346,45063,298750,0.2765050630801623
2347,45065,9463,0.4560151165231997
2348,45067,30657,0.6160435870198403
2349,45069,26118,0.593542580717741
2350,45071,38440,0.3832551234126037
2351,45073,79546,0.16335695294312214
2352,45075,86175,0.6667181173788632
2353,45077,126884,0.1728105689324526
2354,45079,415759,0.5740111066522167
2355,45081,20473,0.38129572685823343
2356,45083,319785,0.3310213203169541
2357,45085,106721,0.5508924172950851
2358,45087,27316,0.3617677286742035
2359,45089,30368,0.6696641526461677
2360,45091,280979,0.3199014498918785
2361,46003,2751,0.11066618128867856
2362,46005,18453,0.27615019061047574
2363,46007,3365,0.7009760425909495
2364,46009,6901,0.11552191917749532
2365,46011,35077,0.11880727272727276
2366,46013,38839,0.13589723505913687
2367,46015,5297,0.16809605488850776
2368,46017,1962,0.8531827515400411
2369,46019,10429,0.09020794689055944
2370,46021,1376,0.06899055918663766
2371,46023,9292,0.3864291048757068
2372,46025,3736,0.057336460776648446
2373,46027,14070,0.1441838711832698
2374,46029,28009,0.07887025595763464
2375,46031,4086,0.7547411583803177
2376,46033,8972,0.08812214474633329
2377,46035,19775,0.10853878532772099
2378,46037,5424,0.1508533675903836
2379,46039,4351,0.05285215366705476
2380,46041,5892,0.8368009162053827
2381,46043,2921,0.060317460317460325
2382,46045,3829,0.04616156547917716
2383,46047,6713,0.14068550121898749
2384,46049,2299,0.052235294117647046
2385,46051,7052,0.09396506087877188
2386,46053,4185,0.12268402603905859
2387,46055,1899,0.08119658119658124
2388,46057,6164,0.07089552238805974
2389,46059,3191,0.044197138314785334
2390,46061,3453,0.037850332273909326
2391,46063,1298,0.07398932112890921
2392,46065,17526,0.19887419082465518
2393,46067,7291,0.04833714824289759
2394,46069,1301,0.13470681458003164
2395,46071,3344,0.6261582323592303
2396,46073,2013,0.063740228502706
2397,46075,903,0.15267175572519087
2398,46077,4939,0.042992095623674564
2399,46079,12797,0.08328058594809662
2400,46081,25844,0.09504036013660355
2401,46083,61128,0.09464250088242965
2402,46085,3781,0.48386229155459926
2403,46087,5586,0.06370996128123896
2404,46089,2379,0.05640812940688511
2405,46091,4935,0.15745471435206693
2406,46093,28332,0.13818169636875255
2407,46095,2061,0.6584984358706987
2408,46097,2216,0.048738033072236675
2409,46099,193134,0.19705497581307618
2410,46101,6576,0.23500631313131315
2411,46102,14177,0.9673785839672323
2412,46103,113775,0.22581531193349325
2413,46105,2865,0.06208112874779537
2414,46107,2153,0.05784789644012944
2415,46109,10394,0.4547665369649806
2416,46111,2344,0.06180257510729614
2417,46115,6376,0.052979091337839956
2418,46117,3098,0.13825503355704694
2419,46119,1391,0.06639004149377592
2420,46121,10177,0.9238115677647816
2421,46123,5441,0.23097439544807963
2422,46125,8384,0.0650294015911449
2423,46127,15932,0.09993456665278688
2424,46129,5435,0.22107243650047037
2425,46135,22814,0.1174174174174174
2426,46137,2756,0.8313302942395359
2427,47001,76978,0.13303424399984443
2428,47003,49713,0.24366502776837784
2429,47005,16160,0.08680030257186078
2430,47007,15064,0.11097699993294441
2431,47009,133088,0.11763010053222944
2432,47011,108110,0.17552016203277476
2433,47013,39842,0.05105418618863311
2434,47015,14678,0.09092789190679718
2435,47017,27767,0.15622362869198314
2436,47019,56391,0.07422457236141666
2437,47021,40667,0.10430463576158944
2438,47023,17297,0.15725736693385617
2439,47025,31959,0.058296663857940856
2440,47027,7615,0.044057512201556515
2441,47029,36004,0.08253007027973003
2442,47031,56520,0.1417022232203009
